Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Status
assorterte-smakaker-6869-99,Assorterte småkaker,<p>Assorterte småkaker Størrelse : 5cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,6869-99,shopify,3,deny,manual,79,119,12,TRUE,TRUE,draft
baguette-1057-50,Baguette,<p>Baguette Lengde : 20cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,1057-50,shopify,25,deny,manual,140,229,12,TRUE,TRUE,draft
frukt-med-sukker-1485-99,Frukt med sukker,<p>Frukt med sukker - 8stk Høyde :2-8cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,1485-99,shopify,54,deny,manual,120,199,12,TRUE,TRUE,draft
kake-med-hjertepynt-23cm-6308-20,Kake med hjertepynt 23cm,<p>Kake med hjertepynt. Høyde : 10cm Diameter : 23cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,6308-20,shopify,2,deny,manual,390,649,12,TRUE,TRUE,draft
kaker-2-stk-1483-99,Kaker 2 stk,"<p>2 stk kaker Høyde : 7,5cm Diameter : 8cm</p>",Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,1483-99,shopify,35,deny,manual,260,429,12,TRUE,TRUE,draft
kjeks-6stk-6302-99,Kjeks 6stk,"<p>Kjeks 6stk Diameter : 5,5-6,5cm Lengde : 5,5-6,5cm</p>",Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,6302-99,shopify,8,deny,manual,89,149,12,TRUE,TRUE,draft
makroner-5-stk-1481-99,Makroner 5 stk,<p>5 stk Makroner Diameter : 5cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,1481-99,shopify,3,deny,manual,89,149,12,TRUE,TRUE,draft
mandelkake-1731-50,Mandelkake,"<p>Mandelkake Høyde : 7,5cm Lengde : 17cm</p>",Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,1731-50,shopify,20,deny,manual,100,169,12,TRUE,TRUE,draft
mandelpai-1487-70,Mandelpai,<p>Mandelpai Diameter : 20cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,1487-70,shopify,4,deny,manual,300,499,12,TRUE,TRUE,draft
minimuffins-6-stk-med-topping-3481-99,Minimuffins 6 stk med topping,<p>Minimuffins 6 stk med topping Høyde : 4cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,3481-99,shopify,3,deny,manual,110,179,12,TRUE,TRUE,draft
nottekake-6145-50,Nøttekake,<p>Nøttekake Høyde : 9cm Bredde : 7x15cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,6145-50,shopify,22,deny,manual,170,289,12,TRUE,TRUE,draft
